year,month,station,municipality,region,province,monthly_mean_temp,monthly_max_temp,monthly_min_temp,rainfall
2003,1,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,2,6.8,-2.7,16.8
2003,2,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,2.4,7.3,-2.6,44.6
2003,3,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,4.8,10.4,-0.8,37.9
2003,4,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,7.4,12.9,1.9,29
2003,5,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,12,18.4,5.6,142.7
2003,6,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,16.9,23.9,9.7,42.2
2003,7,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,20.3,28.3,12.3,23
2003,8,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,21.2,28.5,14,36
2003,9,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,15.2,21.5,8.9,61.8
2003,10,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,8.3,12.7,3.9,64
2003,11,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,4.8,8.9,0.6,35.4
2003,12,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,1.9,6.1,-2.3,11.8
2004,1,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,3.5,8.4,-1.4,11.6
2004,2,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,3,8,-2,31.2
2004,3,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,3.9,8.9,-1.2,71.2
2004,4,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,6.1,11.7,0.6,69.5
2004,5,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,8.9,14.6,3.3,141.2
2004,6,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,17.6,24.2,10.9,30.4
2004,7,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,18.6,26.6,10.5,32.3
2004,8,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,19.8,27.4,12.3,26
2004,9,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,16.6,23.7,9.5,41.5
2004,10,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,11.1,16.2,6,13.8
2004,11,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,4.5,10.2,-1.2,20.5
2004,12,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,1.2,4.9,-2.5,35.1
2005,1,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,0.9,6.6,-4.8,2.2
2005,2,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,-1.6,3.3,-6.6,17.6
2005,3,POZONDON D.G.A.,POZONDÓN,SIERRA DE ALBARRACÍN,TERUEL ,4.6,10.5,-1.2,13
